Date;Code INSEE région;Région;TMin (°C);TMax (°C);TMoy (°C)
2017-07-01;52;Pays de la Loire;13.35;19.95;16.65
2017-07-02;52;Pays de la Loire;11.55;24.05;17.8
2016-03-23;52;Pays de la Loire;2.85;13.8;8.32
2016-09-12;52;Pays de la Loire;14.5;31.35;22.92
2016-02-11;52;Pays de la Loire;0.35;10.25;5.3
2016-09-14;52;Pays de la Loire;15.7;23.1;19.4
2017-07-07;52;Pays de la Loire;18.7;33.35;26.02
2016-03-26;52;Pays de la Loire;6.9;16.35;11.62
2016-02-14;52;Pays de la Loire;4.55;10.7;7.62
2016-09-16;52;Pays de la Loire;13.6;19.1;16.35
2016-03-30;52;Pays de la Loire;7.6;9.15;8.38
2016-03-31;52;Pays de la Loire;5.45;10.95;8.2
2016-09-20;52;Pays de la Loire;11.55;22.6;17.08
2017-07-11;52;Pays de la Loire;15.55;23.8;19.68
2016-02-20;52;Pays de la Loire;7.65;12.05;9.85
2017-08-15;52;Pays de la Loire;19.1;26.45;22.78
2017-08-16;52;Pays de la Loire;13.3;26.0;19.65
2016-02-22;52;Pays de la Loire;9.55;12.15;10.85
2016-04-03;52;Pays de la Loire;4.15;18.55;11.35
2017-07-19;52;Pays de la Loire;20.05;24.4;22.22
2016-09-26;52;Pays de la Loire;8.4;21.9;15.15
2016-02-27;52;Pays de la Loire;1.25;8.7;4.97
2016-02-28;52;Pays de la Loire;1.65;9.8;5.72
2017-07-21;52;Pays de la Loire;10.65;23.45;17.05
2016-09-28;52;Pays de la Loire;15.45;21.3;18.38
2016-04-09;52;Pays de la Loire;6.4;12.1;9.25
2017-08-22;52;Pays de la Loire;16.95;32.3;24.62
2016-10-02;52;Pays de la Loire;5.7;19.35;12.53
2016-03-05;52;Pays de la Loire;1.55;8.95;5.25
2016-04-14;52;Pays de la Loire;4.7;14.7;9.7
2016-03-07;52;Pays de la Loire;0.25;8.4;4.32
2017-08-26;52;Pays de la Loire;13.8;29.35;21.58
2017-07-31;52;Pays de la Loire;13.25;23.55;18.4
2017-08-01;52;Pays de la Loire;14.75;25.8;20.27
2017-08-02;52;Pays de la Loire;12.6;27.7;20.15
2016-04-21;52;Pays de la Loire;11.6;20.7;16.15
2016-03-13;52;Pays de la Loire;1.35;11.25;6.3
2017-08-31;52;Pays de la Loire;7.8;22.35;15.08
2016-03-14;52;Pays de la Loire;3.0;12.05;7.52
2016-04-23;52;Pays de la Loire;9.25;12.3;10.78
2016-03-17;52;Pays de la Loire;3.05;12.9;7.98
2016-10-13;52;Pays de la Loire;6.65;12.4;9.52
2016-04-26;52;Pays de la Loire;5.45;12.15;8.8
2017-08-09;52;Pays de la Loire;11.15;19.4;15.27
2016-04-27;52;Pays de la Loire;-1.2;12.7;5.75
2017-08-11;52;Pays de la Loire;11.35;22.75;17.05
2017-09-07;52;Pays de la Loire;12.15;20.85;16.5
2017-08-13;52;Pays de la Loire;14.35;23.8;19.08
2017-08-17;52;Pays de la Loire;16.7;23.0;19.85
2017-09-11;52;Pays de la Loire;11.95;19.5;15.72
2017-08-20;52;Pays de la Loire;9.35;23.85;16.6
2016-10-25;52;Pays de la Loire;10.9;16.3;13.6
2016-10-26;52;Pays de la Loire;7.3;14.4;10.85
2017-09-15;52;Pays de la Loire;7.4;18.75;13.08
2016-05-09;52;Pays de la Loire;14.4;18.85;16.62
2016-04-05;52;Pays de la Loire;5.4;16.05;10.73
2016-04-07;52;Pays de la Loire;4.2;12.95;8.57
2016-05-13;52;Pays de la Loire;13.0;18.25;15.62
2016-04-08;52;Pays de la Loire;3.1;14.5;8.8
2016-05-16;52;Pays de la Loire;4.55;18.1;11.32
2017-09-02;52;Pays de la Loire;9.15;23.05;16.1
2016-04-11;52;Pays de la Loire;6.75;15.6;11.18
2016-11-06;52;Pays de la Loire;2.7;10.65;6.68
2016-05-21;52;Pays de la Loire;9.75;23.9;16.83
2016-11-07;52;Pays de la Loire;-1.85;10.4;4.27
2017-09-25;52;Pays de la Loire;14.45;20.15;17.3
2016-04-16;52;Pays de la Loire;7.8;16.05;11.92
2016-11-11;52;Pays de la Loire;5.35;13.0;9.18
2017-09-29;52;Pays de la Loire;13.9;21.0;17.45
2017-09-30;52;Pays de la Loire;11.35;19.8;15.58
2017-09-14;52;Pays de la Loire;11.55;18.5;15.02
2016-06-02;52;Pays de la Loire;13.55;17.9;15.72
2016-11-16;52;Pays de la Loire;11.2;13.1;12.15
2016-04-24;52;Pays de la Loire;0.85;12.6;6.72
2017-10-08;52;Pays de la Loire;12.15;17.75;14.95
2016-06-07;52;Pays de la Loire;14.4;26.15;20.28
2016-11-19;52;Pays de la Loire;2.65;13.6;8.12
2016-11-20;52;Pays de la Loire;8.45;13.8;11.12
2017-10-10;52;Pays de la Loire;13.55;16.85;15.2
2016-11-21;52;Pays de la Loire;10.25;14.75;12.5
2016-06-08;52;Pays de la Loire;12.65;26.35;19.5
2017-10-12;52;Pays de la Loire;14.45;21.45;17.95
2017-09-21;52;Pays de la Loire;8.1;22.3;15.2
2016-04-28;52;Pays de la Loire;-0.45;13.95;6.75
2017-09-22;52;Pays de la Loire;10.25;21.0;15.62
2016-05-01;52;Pays de la Loire;-0.2;16.3;8.05
2016-05-02;52;Pays de la Loire;3.75;17.1;10.42
2017-10-16;52;Pays de la Loire;14.75;23.6;19.17
2017-10-18;52;Pays de la Loire;14.2;21.65;17.92
2016-05-05;52;Pays de la Loire;7.9;23.5;15.7
2016-06-17;52;Pays de la Loire;11.95;19.4;15.68
2016-06-18;52;Pays de la Loire;9.2;20.25;14.72
2016-06-19;52;Pays de la Loire;12.2;21.35;16.77
2016-12-02;52;Pays de la Loire;-1.85;6.85;2.5
2016-05-08;52;Pays de la Loire;14.7;23.6;19.15
2016-06-20;52;Pays de la Loire;15.05;18.2;16.62
2016-05-10;52;Pays de la Loire;13.3;22.85;18.08
2017-10-03;52;Pays de la Loire;13.2;18.9;16.05
2017-10-24;52;Pays de la Loire;13.9;19.2;16.55
2017-10-25;52;Pays de la Loire;11.95;21.2;16.58
2016-12-09;52;Pays de la Loire;2.45;13.3;7.88
2016-05-15;52;Pays de la Loire;3.85;18.15;11.0
2017-10-07;52;Pays de la Loire;3.25;18.65;10.95
2016-12-14;52;Pays de la Loire;3.05;11.7;7.38
2016-06-27;52;Pays de la Loire;14.2;21.25;17.72
2016-12-16;52;Pays de la Loire;5.9;12.8;9.35
2016-12-18;52;Pays de la Loire;1.6;3.4;2.5
2016-06-28;52;Pays de la Loire;13.8;23.1;18.45
2017-10-13;52;Pays de la Loire;12.1;21.15;16.62
2017-11-01;52;Pays de la Loire;4.9;15.5;10.2
2016-05-22;52;Pays de la Loire;10.95;16.0;13.48
2016-07-01;52;Pays de la Loire;16.8;21.85;19.33
2017-11-05;52;Pays de la Loire;5.15;12.1;8.62
2016-05-25;52;Pays de la Loire;9.35;21.3;15.32
2016-07-03;52;Pays de la Loire;11.3;20.25;15.78
2017-11-07;52;Pays de la Loire;-1.35;10.8;4.72
2017-11-09;52;Pays de la Loire;4.75;12.9;8.82
2017-11-11;52;Pays de la Loire;8.75;14.3;11.52
2017-10-20;52;Pays de la Loire;9.9;18.4;14.15
2017-01-03;52;Pays de la Loire;-0.05;2.35;1.15
2017-01-05;52;Pays de la Loire;-1.25;7.35;3.05
2016-06-04;52;Pays de la Loire;13.05;19.1;16.08
2016-06-05;52;Pays de la Loire;11.95;21.45;16.7
2016-07-11;52;Pays de la Loire;15.4;23.7;19.55
2016-06-06;52;Pays de la Loire;14.65;24.95;19.8
2016-07-13;52;Pays de la Loire;10.9;21.3;16.1
2017-10-28;52;Pays de la Loire;3.45;15.8;9.62
2017-11-21;52;Pays de la Loire;7.95;13.35;10.65
2017-10-31;52;Pays de la Loire;1.9;13.45;7.68
2016-06-12;52;Pays de la Loire;13.45;20.5;16.98
2017-01-15;52;Pays de la Loire;2.4;9.45;5.92
2017-11-25;52;Pays de la Loire;4.65;9.85;7.25
2017-11-04;52;Pays de la Loire;10.9;16.15;13.52
2017-01-18;52;Pays de la Loire;-3.2;3.0;-0.1
2016-07-18;52;Pays de la Loire;19.05;35.05;27.05
2016-07-19;52;Pays de la Loire;20.15;36.95;28.55
2017-01-21;52;Pays de la Loire;-7.8;5.1;-1.35
2017-11-13;52;Pays de la Loire;1.8;11.25;6.52
2017-01-26;52;Pays de la Loire;-4.85;7.9;1.52
2016-06-29;52;Pays de la Loire;13.2;21.95;17.58
2016-07-31;52;Pays de la Loire;14.0;26.35;20.18
2017-01-30;52;Pays de la Loire;9.05;12.75;10.9
2016-08-01;52;Pays de la Loire;10.4;25.0;17.7
2016-08-06;52;Pays de la Loire;10.35;26.4;18.38
2017-02-02;52;Pays de la Loire;8.85;11.85;10.35
2017-11-20;52;Pays de la Loire;5.45;12.2;8.82
2017-12-12;52;Pays de la Loire;-1.95;9.6;3.82
2016-07-05;52;Pays de la Loire;13.3;22.7;18.0
2016-07-06;52;Pays de la Loire;9.95;25.6;17.77
2016-08-09;52;Pays de la Loire;11.75;23.8;17.77
2017-12-15;52;Pays de la Loire;3.35;9.9;6.62
2017-12-16;52;Pays de la Loire;1.0;8.5;4.75
2016-07-07;52;Pays de la Loire;11.6;28.85;20.22
2017-11-23;52;Pays de la Loire;11.75;16.9;14.32
2016-08-11;52;Pays de la Loire;8.6;24.8;16.7
2017-02-08;52;Pays de la Loire;1.6;9.95;5.78
2016-07-09;52;Pays de la Loire;14.25;26.9;20.58
2017-12-18;52;Pays de la Loire;4.95;11.8;8.38
2017-12-19;52;Pays de la Loire;-1.85;8.2;3.18
2016-07-10;52;Pays de la Loire;13.1;25.85;19.48
2017-11-30;52;Pays de la Loire;0.55;7.4;3.97
2016-07-12;52;Pays de la Loire;12.55;22.45;17.5
2017-12-02;52;Pays de la Loire;-1.4;6.45;2.53
2017-12-25;52;Pays de la Loire;5.65;8.55;7.1
2016-07-20;52;Pays de la Loire;19.25;28.3;23.78
2016-07-23;52;Pays de la Loire;14.7;28.15;21.42
